time,x,y,z
32973,5.94283,-5.68786,4.81732
33023,0.68647,0.11768,6.21590
33072,13.47434,13.10168,12.78146
33123,4.49145,7.49228,25.25212
33183,-0.80415,7.84532,-2.71945
33222,-4.68758,6.15858,6.41014
33273,-7.31576,7.33537,1.39857
33323,-4.25609,4.27570,27.58308
33373,0.09807,13.10168,3.72953
33422,9.04173,3.68730,20.24054
33472,2.05940,0.15691,0.97122
33523,6.92350,-3.17735,2.44750
33572,7.04117,-4.15802,0.66044
33622,3.47155,-4.00111,10.25624
33673,9.12018,10.78732,10.02313
33723,4.88371,8.39449,21.05637
33773,-1.19641,7.72764,-0.46618
33826,-4.64835,6.31548,2.71945
33873,-1.35332,8.78676,5.01156
33925,-6.29587,7.80609,20.12399
33973,-2.17708,13.88622,9.40155
34024,3.62846,2.51050,22.29957
34073,10.92461,-0.54917,-2.79715
34123,4.29531,-4.58951,1.90361
34180,9.15941,-5.76631,7.65333
34223,2.84393,-3.41271,7.03173
34272,7.43344,5.92322,17.71533
34323,4.92294,11.84643,13.90808
34373,2.05940,6.94311,10.99438
34423,-4.60913,7.37460,-5.90510
34473,-3.39310,6.31548,8.54686
34523,-5.27598,4.70719,8.77996
34573,-4.05995,7.29615,21.48372
34624,3.82459,9.41438,8.46916
34673,4.02073,2.00056,19.19162
34723,2.21630,0.00000,3.45758
34773,7.08040,-2.94200,3.65184
34822,5.78592,-5.72708,7.38138
34873,3.82459,0.82376,8.85766
34923,9.63013,10.66964,5.63316
34985,-3.27542,5.80554,18.10382
35023,-1.11796,7.96300,0.89353
35075,-1.07873,7.80609,1.67052
35123,-3.27542,8.51217,6.91518
35192,-5.11907,8.19836,16.62754
35223,0.05884,10.98345,24.63052
35273,6.41355,3.80498,16.47215
35323,4.25609,0.50995,4.62308
35373,4.88371,-2.82432,5.71086
35424,11.15997,-4.58951,5.20582
35472,4.76603,-5.06023,13.01454
35523,7.43344,9.13980,2.17556
35572,1.39254,9.37516,28.16582
35622,0.41188,9.68897,9.51809
35673,-4.13841,8.39449,-3.14680
